date,open,high,low,close,volume
2026-03-30,60.13,62.74,60.13,61.66,64640
2026-03-31,61.52,62.26,59.38,59.77,63446
2026-04-01,61.75,63.67,61.26,62.03,75900
2026-04-02,61.87,62.01,59.33,59.74,66053
2026-04-03,60.35,63.53,59.87,61.75,101197
2026-04-07,62.87,67.94,62.87,66.15,168767
2026-04-08,67.88,71.47,67.88,70.74,190713
2026-04-09,70.83,75.74,69.87,73.88,169009
2026-04-10,74.02,75.47,71.59,72.8,139277
2026-04-13,71.87,74.73,71.87,73.19,114807
2026-04-14,74.32,76.47,71.91,74.47,153697
2026-04-15,74.87,76.07,72.37,72.72,112305
2026-04-16,72.76,74.05,71.77,71.88,96593
2026-04-17,71.77,77.37,71.29,75.22,135421
2026-04-20,75.76,77.21,73.77,75.12,136258
2026-04-21,73.78,75.81,73.4,74.66,120387
2026-04-22,71.66,74.43,67.98,73.83,203292
2026-04-23,73.64,74.31,68.67,69.67,152193
2026-04-24,69.04,74.77,66.37,73.57,233806
2026-04-27,73.57,76.87,71.62,75.17,173541
2026-04-28,75.16,80.2,74.87,76.3,212475
2026-04-29,75.87,82.33,74.87,80.6,196211
2026-04-30,80.07,80.86,76.88,79.05,188367
2026-05-06,80.87,83.86,80.87,81.7,177580
2026-05-07,81.17,87.5,79.97,86.57,150204
2026-05-08,85.06,87.86,83.47,85.98,116263
2026-05-11,86.87,90.98,83.87,88.88,166389
2026-05-12,90.07,97.78,89.27,97.78,214206
2026-05-13,96.07,105.36,94.88,104.53,190076
2026-05-14,105.64,110.85,100.75,106.19,179606
2026-05-15,106,109.6,98.96,100.91,185758
2026-05-18,98,104.33,97.01,100.27,148869
2026-05-19,98.5,104.8,94.88,103.63,158749
2026-05-20,101.95,113.99,100.95,113.99,161363
2026-05-21,120.02,123.57,111.11,112.58,205106
2026-05-22,115.29,123.84,115.29,123.84,154231
2026-05-25,124,131.5,118.01,131.25,240951
2026-05-26,125.99,139.22,121.2,132.6,221273
2026-05-27,129.5,138.99,126.13,128.55,165357
2026-05-28,124.01,133.66,120.18,132.12,159139
2026-05-29,131.4,138.95,129.18,132.1,160603
2026-06-01,130,130.76,120,120.32,169559
2026-06-02,121.2,123.2,114.17,121.57,151100
2026-06-03,120.09,123.58,116,118.51,148995
2026-06-04,118.51,125.88,115.97,123.57,138263
2026-06-05,120.6,129.5,118.12,123.66,149494
2026-06-08,115.24,136.03,114.5,136.03,246802
2026-06-09,143,149.63,137.8,149.63,195621
2026-06-10,152.5,164.59,152.5,163.32,221520
2026-06-11,166.01,174.42,159.01,170.38,197396
2026-06-12,176,187.42,170.05,170.3,212147
2026-06-15,178.47,187.33,178,187.33,61517
2026-06-16,200.06,206.06,198,206.06,57878
2026-06-17,215,226.67,214.3,226.67,160407
2026-06-18,223.38,239.99,221.22,238.11,176786
2026-06-22,238.11,258,229.39,249.19,195105
2026-06-23,248.94,248.94,229.5,231.6,133201
2026-06-24,236,254.76,234.03,250.44,159877
2026-06-25,250.5,269.87,241.92,262.8,146795
2026-06-26,261.12,267.59,242.52,247.25,115630
2026-06-29,246.96,250,222.53,227.55,164495
2026-06-30,224.99,228.56,215.1,225.3,163112
2026-07-01,222,227,210.58,212.91,124266
