date,open,high,low,close,volume
2026-03-30,73.79,75.91,71.99,73.41,156461
2026-03-31,73.76,74.03,68.99,69.61,235239
2026-04-01,70.79,71.33,68.02,70.32,182990
2026-04-02,70.12,75.71,69.91,72.18,221331
2026-04-03,72.49,72.78,69.27,72.56,159749
2026-04-07,72.91,75.91,72.76,73.54,141692
2026-04-08,74.91,74.98,70.92,71.52,266206
2026-04-09,70.79,73.54,70.02,72.6,170676
2026-04-10,72.46,76.36,71.99,76.11,214519
2026-04-13,76.11,80.92,75.62,80.42,199529
2026-04-14,80.37,80.88,78.01,79.51,135701
2026-04-15,79.96,80.18,74.76,77.5,206275
2026-04-16,77.4,79.77,75.92,77.7,180375
2026-04-17,85.46,85.47,83.76,85.47,131177
2026-04-20,87,92.5,86.71,89.63,352941
2026-04-21,89,89.53,86.5,86.99,160429
2026-04-22,86.5,88.26,85.35,87.64,162951
2026-04-23,87,88.93,84.2,85.25,161582
2026-04-24,85.95,90.1,85.95,88.66,226203
2026-04-27,87.51,90.37,86.82,88.66,182015
2026-04-28,90.19,94.18,86.25,86.75,276750
2026-04-29,86.51,87.95,85.1,85.47,205967
2026-04-30,85.13,85.9,83.3,84,164893
2026-05-06,84.75,86.68,82.55,86.15,200588
2026-05-07,86.1,86.28,84.36,84.86,130815
2026-05-08,84,84.75,81.71,82.98,154769
2026-05-11,82.71,85.8,81.58,85,168730
2026-05-12,86.06,86.26,83.04,83.21,152258
2026-05-13,82.5,84.58,80.7,83.01,149223
2026-05-14,82.78,84.26,80.62,80.76,142731
2026-05-15,80.12,80.5,76.63,77.4,226444
2026-05-18,77.13,79.86,77.13,78.93,126750
2026-05-19,78.93,78.99,76.19,77.14,138230
2026-05-20,76.63,78,75.27,77.03,151889
2026-05-21,77.79,79,75.8,75.8,142299
2026-05-22,75.8,76.44,74.48,74.92,146207
2026-05-25,77.01,79.16,77.01,78.41,177326
2026-05-26,78.46,79.81,76.2,77.6,173417
2026-05-27,77.61,78.24,73.99,74.71,157283
2026-05-28,74.71,75.48,72.63,73.55,146931
2026-05-29,74.18,75.68,72.23,72.99,185727
2026-06-01,74.77,76.7,72.2,72.9,193156
2026-06-02,72.5,73.16,70.81,71.45,114401
2026-06-03,72,72.1,69,69.91,169629
2026-06-04,69,69.35,66.6,67.58,242086
2026-06-05,67.57,67.96,63.3,63.67,270714
2026-06-08,62.45,63.5,58.19,59.15,306606
2026-06-09,60,61.99,58.53,61.37,287939
2026-06-10,60.84,61.5,58.89,59.64,168824
2026-06-11,59,59.64,57.54,58.48,171450
2026-06-12,58.55,60.89,58.09,59.55,230656
2026-06-15,60.24,61.45,58.22,59.32,248757
2026-06-16,59.7,62.46,58.51,60.2,271008
2026-06-17,59.81,61.1,59.53,60.57,164002
2026-06-18,60,60.98,58.21,58.32,227718
2026-06-22,58.5,63.16,58.19,60.95,291476
2026-06-23,60.76,62.6,59.46,59.79,236702
2026-06-24,59.8,59.9,57.58,58.2,200511
2026-06-25,57.67,58,56.3,56.6,202536
2026-06-26,57.3,57.98,55.55,55.55,185145
2026-06-29,55.55,58.3,54.57,57.17,204089
2026-06-30,57,59.69,56.5,57.97,185948
2026-07-01,57.51,57.51,53.2,55.04,271920
