date,open,high,low,close,volume
2026-03-30,52.65,54.53,52.21,54.3,309474
2026-03-31,53.8,54.8,52.61,53.37,323524
2026-04-01,54.75,55.18,53.75,54.3,331705
2026-04-02,53.34,53.69,50.4,50.83,626013
2026-04-03,51.24,52.5,51.23,51.7,394179
2026-04-07,52.56,55.19,52.2,54.4,594489
2026-04-08,56.2,58.31,55.88,58.18,686975
2026-04-09,57.01,58.95,56.73,58.4,419173
2026-04-10,59.34,61.46,58.4,60.41,602890
2026-04-13,59.56,63.7,59.48,62.67,668701
2026-04-14,63.7,66.86,62.48,66.02,799660
2026-04-15,67.7,70.2,65.74,66.1,930830
2026-04-16,66.52,67.34,65.21,66.76,530250
2026-04-17,66.25,69.57,65.9,68.45,568740
2026-04-20,68.48,70.69,67.94,69,564127
2026-04-21,68.71,73.2,68.27,71.75,735391
2026-04-22,71.74,75.64,71.2,75.2,678667
2026-04-23,75.21,77.7,72.71,74.15,725714
2026-04-24,73.4,74.9,70.75,71.83,574448
2026-04-27,73.2,76.83,73.2,75.87,557872
2026-04-28,76.54,77.3,73.29,75.82,625638
2026-04-29,75.86,80.07,75.18,77.2,736410
2026-04-30,78.2,79.65,75.52,75.71,468913
2026-05-06,78,81.97,78,80.01,603167
2026-05-07,81.62,82.2,79.2,81.2,451021
2026-05-08,79.73,83.35,79.3,81.2,380322
2026-05-11,81.82,83.48,80.2,82.86,480487
2026-05-12,82.9,85.53,81.7,84.82,508736
2026-05-13,84.22,93.38,84.22,93.38,715910
2026-05-14,97.31,99.7,92.3,92.52,934590
2026-05-15,92.58,93.04,86.85,89.15,598251
2026-05-18,89.43,98.15,89.43,98.15,753260
2026-05-19,97.05,101.07,93.22,99.98,811490
2026-05-20,98.71,101.57,97.17,99.76,520464
2026-05-21,101.35,106.7,96.86,97.39,726707
2026-05-22,101.3,107.21,101.2,107.21,668899
2026-05-25,113.2,117.01,109.55,115.72,794411
2026-05-26,114.88,127.37,114.8,127.37,781785
2026-05-27,132.2,139.2,128.19,130.96,1102999
2026-05-28,131.97,136.9,124.71,134.84,1026694
2026-05-29,134.84,144.75,133.08,139.82,1008405
2026-06-01,139.82,147.1,131.5,134.83,1155189
2026-06-02,132.41,143.53,127.87,140.27,1083318
2026-06-03,137,146.69,134.22,140.29,1097300
2026-06-04,136.2,147,134.31,143.16,850144
2026-06-05,140,145.16,136.38,137.36,726278
2026-06-08,126,140.36,126,134.06,757561
2026-06-09,138.99,147.47,136.86,147.47,692989
2026-06-10,147,154.5,144.64,146.9,959194
2026-06-11,146.95,153.5,143.11,149.73,840041
2026-06-12,155.98,162.62,150.11,151.28,963705
2026-06-15,159.11,166.41,153.55,166.41,540346
2026-06-16,176,183.05,174.8,179.4,918984
2026-06-17,180,191,176,180.15,1155608
2026-06-18,178.5,187.35,176.73,183.87,798770
2026-06-22,186.6,191.88,177.54,184.5,945294
2026-06-23,179,180,166.53,167.87,998238
2026-06-24,167.9,179.38,167,177.3,778217
