date,open,high,low,close,volume
2026-06-25,179.9,188,175.18,187.2,715499
2026-06-26,182,182.3,171.69,178.5,714770
2026-06-29,178.5,182.68,162.9,171.16,748375
2026-06-30,171,178.15,168.11,173.4,676451
2026-07-01,173.4,175.88,163.17,164.8,668680
2026-07-02,155,160.68,150.59,151.95,718965
2026-07-03,151.94,166.21,145.99,160.78,776465
2026-07-06,163,164,149.61,154.27,607755
2026-07-07,154.19,156.46,146.8,150.77,484066
2026-07-08,153.85,154.95,145.2,145.46,451298
2026-07-09,149.98,158.03,144.8,157.4,649809
2026-07-10,160,163.48,149.25,149.39,634013
2026-07-13,147.9,150.33,134.45,134.45,804531
2026-07-14,139.97,147.9,139,147.9,809572
2026-07-15,154.01,160.3,151.5,152.43,942584
2026-07-16,148,155.43,144,146.99,712841
2026-07-17,144.84,146,132.29,132.29,756456
2026-07-20,136,136,119.06,123.34,945392
2026-07-21,129.32,135.67,117.5,135.67,898218
2026-07-22,135.67,140.19,124.06,126,823857
2026-07-23,129,134.21,123.8,125.1,609987
2026-07-24,123.81,123.99,117.99,118.71,604586
2026-07-27,120,125.99,114.66,125.99,575210
2026-07-28,119.42,121,113.39,113.39,480574
2026-07-29,111.88,112.7,102.6,108.18,887963
2026-07-30,105,108.83,97.51,100.08,810983
2026-07-31,110.09,110.09,105.44,105.64,808423
2026-08-03,102.01,105.88,99.88,102.03,532053
2026-08-04,105,112.23,103.5,112.23,609875
2026-08-05,110,123.45,110,122.79,893471
2026-08-06,120,130.99,119.5,127.25,760588
2026-08-07,131,139.98,130.98,139.98,783085
2026-08-10,141.98,143.48,134.39,138.57,942162
2026-08-11,135.8,140.58,133.66,135.3,587915
2026-08-12,136.95,145.55,135.64,143.23,764841
2026-08-13,146.08,151.9,141.63,141.74,824227
2026-08-14,144,146.3,139.7,143.21,673037
2026-08-17,145.9,147.47,140.51,144.49,762217
2026-08-18,144,145.47,137.45,139.41,736201
2026-08-19,132,134.44,125.47,125.47,782925
2026-08-20,128.19,131.19,124.16,126.28,596152
2026-08-21,126.03,134.86,124.88,132.8,664758
2026-08-24,132.83,134,122.3,126.3,637658
2026-08-25,124,132,122.05,129,635340
2026-08-26,130.7,131.99,124,130.01,586918
2026-08-27,133.98,143.01,133.07,140.97,1031748
2026-08-28,140.01,151.79,138.41,145.65,987078
2026-08-31,141,157.28,141,153.4,1038874
2026-09-01,152,152.41,143.7,144.42,789206
2026-09-02,139,149.23,138.99,144.98,655882
2026-09-03,148.88,149.38,139.01,143.19,635897
2026-09-04,145.2,147.8,135.47,137.5,670208
2026-09-07,140.25,149.25,139.8,148.15,839356
2026-09-08,149,151.25,145.5,146.28,690344
2026-09-09,147.9,151.88,146.51,148.16,589970
2026-09-10,145.02,151.3,145,146.96,583540
2026-09-11,143.55,150.3,138.43,148.43,796211
2026-09-14,144.55,149.88,141.1,146,546720
2026-09-15,146,156.93,145.99,150.25,812456
2026-09-16,151,157.5,147.33,154.48,645509
2026-09-17,153,157.27,145,146.03,850456
2026-09-18,149,149.6,139.4,143.93,875139
