date,open,high,low,close,volume
2026-03-30,317.29,330.71,317.29,326.7,255254
2026-03-31,317.61,323.93,309.79,315.6,283290
2026-04-01,328.95,330,316.43,328.29,312649
2026-04-02,322.94,328.56,315.57,318.92,218135
2026-04-03,325.71,334.29,323.61,324.5,336360
2026-04-07,320.71,333.57,314.42,326.93,284174
2026-04-08,338.64,357.86,334.35,357.5,469399
2026-04-09,350.21,354.86,347.86,349.29,298416
2026-04-10,351.43,376.43,345.71,372.5,444844
2026-04-13,369.29,372.14,356.44,365.51,375113
2026-04-14,372.81,384.21,367.14,370.71,387738
2026-04-15,374.3,380.71,349.3,354.27,460646
2026-04-16,354.29,384.95,353.57,383.21,418603
2026-04-17,392.14,420.7,386.45,420,416195
2026-04-20,420,425.69,411.43,415.71,342506
2026-04-21,412.14,415.71,403.57,412.5,287544
2026-04-22,405.71,445.9,405.02,444.08,433446
2026-04-23,441.43,447.71,428.56,433.77,401775
2026-04-24,394.11,404.04,376.44,383.05,913871
2026-04-27,391.71,394.29,381.33,383.57,468082
2026-04-28,383.1,390.71,368.58,381.76,357953
2026-04-29,377.14,391.79,375,382.86,275645
2026-04-30,391.43,391.43,369.29,374.85,302098
2026-05-06,384.93,386.84,368.57,372.49,420933
2026-05-07,373.46,402.86,365.71,401.79,533930
2026-05-08,394.29,399.99,389.62,393.34,298005
2026-05-11,395,406.42,374.46,401.93,581077
2026-05-12,410,427.68,407.08,422.51,524973
2026-05-13,417.22,449.85,415.13,448.56,423739
2026-05-14,457.5,466.21,432.79,440.64,382290
2026-05-15,440,449.06,418.06,435.04,356062
2026-05-18,427.14,440.19,422.86,427.8,292637
2026-05-19,427.51,427.79,399.51,408.21,339052
2026-05-20,410.28,428.49,407.51,419.26,326624
2026-05-21,419.52,430.38,403.05,403.57,328097
2026-05-22,411.66,437.77,406.43,432.69,404278
2026-05-25,442.24,470.76,424.29,470.01,476893
2026-05-26,467.86,501.84,467.14,499.29,463532
2026-05-27,492.52,510,487.74,495.71,351379
2026-05-28,495.71,518.57,479.12,512.39,339478
2026-05-29,512.14,523.56,500.01,503.89,332555
2026-06-01,505.81,509.09,480.07,484.87,295925
2026-06-02,496.43,536.43,494.36,532.86,387107
2026-06-03,542.14,582.13,540.76,558.04,426909
2026-06-04,551.76,560.69,545,553.53,254101
2026-06-05,563.57,583.84,520.71,533.57,441765
2026-06-08,507.22,531.43,503.49,517.14,322561
2026-06-09,534.21,567.14,526.43,560.52,348609
2026-06-10,549.29,570.54,542.21,551.07,308882
2026-06-11,552,575,498.67,526,667564
2026-06-12,540,544.98,502.8,506.46,654443
2026-06-15,515,540.88,490.13,540.49,612302
2026-06-16,541.51,561.77,535.01,549,405700
2026-06-17,545.7,558.5,537.11,557.88,389548
2026-06-18,552.66,588,551.18,581.48,428749
2026-06-22,584.1,591,560,579.97,455114
2026-06-23,575,587,540,552,444398
2026-06-24,552,574.48,546,555.3,405643
2026-06-25,560,610.8,550.06,610.49,694274
2026-06-26,598,598,550,566,617733
2026-06-29,556,576,524.22,556.96,518139
2026-06-30,565.43,612.86,555.78,607,584424
2026-07-01,608,618.87,566.56,575.56,476237
2026-07-02,545,548.5,504.6,509,696063
2026-07-03,510,551.77,505.88,526,534507
2026-07-06,526,530,502,506.89,431690
2026-07-07,506.89,518.21,490.1,510.1,454313
2026-07-08,515,533.38,498.13,510.84,445276
2026-07-09,526,549.94,509.96,545.5,491997
2026-07-10,564,570.98,520.58,523.05,510678
2026-07-13,518,541.74,502.88,512.5,411305
2026-07-14,525,568.82,515.55,568.82,649039
2026-07-15,565,579.42,551,556,443385
2026-07-16,530,558,526.21,542.6,408753
2026-07-17,518,520.9,452.96,482.88,760025
2026-07-20,512,523.96,481.5,510,681692
2026-07-21,519,554.4,490.99,551.77,757063
2026-07-22,540,551.6,506.16,508.8,626754
2026-07-23,517.72,523.83,493.36,497.3,442701
2026-07-24,481.94,495.65,476,476.02,336974
