date,open,high,low,close,volume
2026-07-27,466.14,492.41,459.5,491,357034
2026-07-28,460,469.99,403.92,406.9,772843
2026-07-29,407.13,429.22,393.5,421.2,650077
2026-07-30,410.21,414.02,347,371.1,963230
2026-07-31,418.01,430.4,395.88,396.01,749477
2026-08-03,389.96,405,379,394.08,404709
2026-08-04,409,453.18,409,448,692583
2026-08-05,400,438.36,400,424.3,871013
2026-08-06,413,439.84,397.09,421.87,514458
2026-08-07,430.34,448.62,413.18,420.95,598278
2026-08-10,420.06,424.24,388.28,399.6,668240
2026-08-11,410.2,420.58,398.88,415.3,483612
2026-08-12,410.01,441.8,409.5,428.2,437323
2026-08-13,444.4,452.88,428.27,429.9,439716
2026-08-14,435.51,449.97,426.5,448.08,388188
2026-08-17,448,472,427.6,466.68,589653
2026-08-18,465.01,467.67,446.46,452.21,389274
2026-08-19,432,439.8,407.02,411.5,540016
2026-08-20,418,420.5,406.12,414.02,284175
2026-08-21,427.01,443.67,420.06,442,477808
2026-08-24,445.01,450,400,412,494600
2026-08-25,405,413.02,395,400.87,350271
2026-08-26,402.36,408.5,385,398.78,342266
2026-08-27,406,413.5,402.51,409.1,364496
2026-08-28,405.24,427.1,398.99,399,425602
2026-08-31,385,406.03,385,401.87,312034
2026-09-01,401.78,415,388,402.81,375858
2026-09-02,393,395,378.56,386.7,356343
2026-09-03,392.11,397.79,380.47,384.76,260500
2026-09-04,392.45,398,382.2,386,299405
2026-09-07,397.98,419.33,395,417.2,512218
2026-09-08,419.33,431.34,413.86,416.4,369420
2026-09-09,435,435.65,411.57,414.8,285202
2026-09-10,407.01,419.46,404.18,410.9,218893
2026-09-11,408.8,426.3,408.1,423,422914
2026-09-14,410.3,411.91,398,401.9,322093
2026-09-15,402,406.99,393.51,397.01,243219
2026-09-16,399.1,431.3,399,423.69,381529
2026-09-17,421,438,420.14,424.34,351803
2026-09-18,435.01,453.78,426.51,445,420921
